job,education,balance,duration,y
housemaid,secondary,3984,7,no
technician,secondary,142,312,no
management,tertiary,6999,11,no
blue-collar,primary,1592,78,no
management,tertiary,4777,12,no
management,tertiary,655,693,yes
admin.,secondary,6512,16,no
technician,tertiary,3233,17,no
management,tertiary,3895,28,no
management,tertiary,1804,73,no
services,secondary,322,590,no
technician,secondary,157,74,no
technician,secondary,2980,101,no
admin.,secondary,2685,78,no
,secondary,11285,13,no
retired,secondary,4861,61,no
admin.,secondary,32,8,no
blue-collar,secondary,2926,90,no
technician,secondary,2270,24,no
,,1239,39,no
admin.,secondary,4,7,no
management,tertiary,1269,55,no
technician,tertiary,-718,11,no
management,tertiary,-250,11,no
blue-collar,primary,1472,36,no
retired,tertiary,5769,15,no
blue-collar,secondary,925,22,no
blue-collar,secondary,0,152,no
retired,secondary,573,53,no
unemployed,secondary,0,598,no
management,tertiary,5804,56,no
admin.,secondary,8652,103,no
technician,tertiary,711,411,no
management,tertiary,-94,75,no
blue-collar,secondary,2592,249,no
technician,secondary,129,75,no
admin.,secondary,400,103,no
blue-collar,secondary,0,622,no
blue-collar,secondary,74,322,no
admin.,tertiary,328,271,no
management,tertiary,282,301,no
technician,secondary,-153,197,no
blue-collar,secondary,2103,71,no
admin.,secondary,192,93,no
blue-collar,primary,5299,75,no
admin.,secondary,-241,856,yes
technician,secondary,594,433,no
retired,secondary,-418,95,no
blue-collar,primary,62,213,no
retired,primary,0,747,no
blue-collar,,373,634,no
technician,secondary,255,140,no
technician,secondary,-1680,92,no
services,secondary,4,133,no
admin.,secondary,2970,169,no
blue-collar,primary,-79,293,no
management,tertiary,2239,93,no
admin.,secondary,2169,54,no
self-employed,secondary,-395,141,no
self-employed,tertiary,0,202,no
blue-collar,primary,276,224,no
management,tertiary,0,111,no
admin.,secondary,220,69,no
blue-collar,secondary,652,281,no
admin.,secondary,-20,58,no
services,,33,161,no
technician,tertiary,-302,80,no
services,tertiary,-90,173,no
admin.,secondary,0,122,no
self-employed,tertiary,392,135,no
technician,tertiary,2099,333,no
technician,secondary,47,224,no
retired,secondary,-180,307,no
technician,secondary,158,650,yes
admin.,secondary,824,32,no
blue-collar,secondary,-255,957,no
services,secondary,549,149,no
services,secondary,-800,203,no
retired,,140,239,no
retired,secondary,-488,172,no
technician,secondary,253,230,no
technician,secondary,321,111,no
admin.,secondary,144,43,no
retired,primary,-37,191,no
technician,secondary,173,31,no
admin.,secondary,75,52,no
services,secondary,335,99,no
technician,secondary,644,133,no
management,tertiary,655,68,no
admin.,secondary,0,105,no
admin.,secondary,1143,260,no
technician,secondary,-28,400,no
admin.,tertiary,218,137,no
blue-collar,secondary,105,668,no
technician,secondary,19,65,no
blue-collar,secondary,-127,1044,yes
blue-collar,primary,343,39,no
blue-collar,primary,380,548,no
services,secondary,295,64,no
management,secondary,4385,92,no
services,secondary,137,407,no
admin.,secondary,534,148,no
blue-collar,primary,25,142,no
housemaid,primary,1618,134,no
unemployed,primary,0,63,no
management,secondary,0,75,no
blue-collar,primary,9301,136,no
technician,primary,486,229,no
admin.,secondary,3531,49,no
blue-collar,primary,1805,758,no
unemployed,primary,11,111,no
self-employed,secondary,1633,629,yes
services,secondary,-134,61,no
services,secondary,182,209,no
retired,primary,808,274,no
blue-collar,primary,3427,169,no
management,primary,21,118,no
self-employed,tertiary,2559,889,yes
management,tertiary,0,240,no
services,secondary,2110,39,no
blue-collar,secondary,1,174,no
housemaid,primary,398,187,no
technician,secondary,232,130,no
admin.,secondary,0,480,no
blue-collar,primary,-167,51,no
blue-collar,secondary,428,575,no
admin.,secondary,564,445,no
services,secondary,35,129,no
services,secondary,149,254,no
housemaid,secondary,977,1200,no
blue-collar,secondary,205,309,no
blue-collar,secondary,2146,206,no
blue-collar,secondary,326,112,no
management,secondary,700,136,no
services,secondary,867,422,no
admin.,secondary,0,166,no
management,secondary,269,1165,no
admin.,secondary,-267,98,no
services,secondary,78,104,no
unemployed,tertiary,1023,107,no
blue-collar,secondary,58932,339,no
management,tertiary,-513,124,no
management,tertiary,76,196,no
management,tertiary,1598,36,no
blue-collar,secondary,-305,263,no
technician,secondary,1581,576,no
housemaid,secondary,1152,260,no
blue-collar,tertiary,1346,74,no
management,tertiary,126,371,no
self-employed,secondary,252,261,no
entrepreneur,secondary,128,122,no
blue-collar,,897,339,no
management,tertiary,256,28,no
blue-collar,secondary,-2,221,no
services,secondary,148,482,no
entrepreneur,tertiary,2,53,no
blue-collar,,-395,9,no
management,secondary,4314,214,no
admin.,secondary,54,226,no
admin.,secondary,210,140,no
technician,tertiary,31,259,no
services,secondary,0,47,no
technician,tertiary,-258,362,no
retired,primary,150,124,no
self-employed,tertiary,191,59,no
technician,tertiary,291,393,no
housemaid,secondary,-97,119,no
services,secondary,1274,136,no
management,tertiary,3,85,no
unemployed,secondary,455,286,no
management,secondary,51,102,no
self-employed,secondary,551,531,yes
technician,secondary,0,634,yes
admin.,secondary,-14,124,no
blue-collar,secondary,101,460,yes
technician,secondary,218,272,no
admin.,secondary,26,428,no
services,secondary,-688,106,no
management,tertiary,33,253,no
services,secondary,87,114,no
student,,-145,154,no
technician,secondary,130,202,no
retired,primary,280,291,no
services,secondary,510,1767,yes
self-employed,secondary,731,188,no
blue-collar,secondary,4280,148,no
admin.,secondary,120,489,no
management,tertiary,854,730,yes
blue-collar,primary,-692,125,no
retired,secondary,971,154,no
services,secondary,0,116,no
services,secondary,2261,250,no
retired,secondary,307,175,no
housemaid,primary,306,212,no
unemployed,secondary,356,361,no
blue-collar,primary,2775,188,no
technician,secondary,359,604,no
services,secondary,-392,185,no
unemployed,secondary,-246,305,no
technician,secondary,-2,283,no
management,tertiary,96,55,no
self-employed,tertiary,108,141,no
blue-collar,secondary,10,84,no
management,,81,158,no
blue-collar,secondary,75,157,no
management,tertiary,2840,1720,no
admin.,secondary,0,452,no
blue-collar,tertiary,-243,171,no
technician,secondary,31,323,no
blue-collar,secondary,110,291,no
admin.,secondary,7711,289,no
management,tertiary,0,59,no
blue-collar,secondary,-59,154,no
technician,secondary,370,1061,yes
technician,secondary,313,378,no
blue-collar,,19,514,no
blue-collar,secondary,-128,392,no
management,tertiary,5262,201,no
blue-collar,secondary,189,687,yes
admin.,,857,49,no
blue-collar,secondary,224,17,no
services,secondary,245,187,no
entrepreneur,tertiary,283,22,no
services,secondary,-1,38,no
admin.,secondary,302,250,no
admin.,secondary,145,183,no
blue-collar,secondary,4,173,no
blue-collar,secondary,125,210,no
management,tertiary,0,134,no
services,secondary,0,42,no
blue-collar,secondary,56,183,no
blue-collar,primary,150,112,no
management,tertiary,702,110,no
management,tertiary,0,127,no
services,secondary,-22,85,no
admin.,secondary,1,112,no
housemaid,tertiary,8,64,no
housemaid,primary,218,127,no
admin.,secondary,47,36,no
management,tertiary,-410,189,no
retired,,-114,611,no
management,tertiary,416,427,no
technician,secondary,320,175,no
management,,247,366,no
housemaid,secondary,681,337,no
admin.,secondary,1,236,no
admin.,tertiary,0,426,yes
entrepreneur,tertiary,1808,127,no
entrepreneur,tertiary,0,236,no
technician,secondary,4,78,no
admin.,secondary,404,188,no
blue-collar,primary,-182,98,no
management,tertiary,327,556,yes
blue-collar,primary,625,133,no
blue-collar,primary,3324,108,no
blue-collar,primary,187,91,no
technician,secondary,959,144,no
self-employed,tertiary,865,332,no
management,tertiary,3872,225,no
admin.,secondary,145,672,no
self-employed,tertiary,3800,70,no
services,secondary,260,183,no
blue-collar,secondary,1958,643,no
blue-collar,secondary,1,290,no
retired,secondary,343,77,no
management,tertiary,0,87,no
blue-collar,secondary,0,49,no
blue-collar,secondary,-258,219,no
blue-collar,secondary,1,347,no
entrepreneur,secondary,1249,391,no
unemployed,primary,3884,399,no
blue-collar,primary,13,364,no
admin.,secondary,0,60,no
blue-collar,primary,498,445,no
retired,primary,1017,10,no
housemaid,primary,0,17,no
technician,secondary,-3,197,no
blue-collar,primary,-191,1290,yes
technician,secondary,313,115,no
blue-collar,primary,2,227,no
technician,secondary,2030,196,no
services,secondary,983,121,no
management,tertiary,119,67,no
technician,secondary,10152,266,no
self-employed,secondary,97,108,no
blue-collar,primary,-237,73,no
services,tertiary,-49,211,no
services,secondary,-56,119,no
blue-collar,secondary,475,30,no
blue-collar,secondary,2,371,no
entrepreneur,secondary,15,121,no
housemaid,primary,-21,192,no
blue-collar,secondary,167,255,yes
management,tertiary,3885,51,no
management,tertiary,1612,103,no
services,secondary,25,144,no
technician,tertiary,91,179,no
admin.,secondary,-428,147,no
services,secondary,2072,224,no
management,tertiary,445,292,no
services,secondary,72,418,no
retired,secondary,-890,467,no
technician,secondary,2246,330,no
services,primary,966,68,no
admin.,secondary,645,123,no
admin.,secondary,520,157,no
admin.,secondary,203,301,no
blue-collar,secondary,3571,262,no
services,secondary,82,226,no
management,tertiary,580,380,no
blue-collar,primary,-388,207,no
self-employed,secondary,9994,400,no
unemployed,tertiary,0,85,no
admin.,secondary,2,144,no
blue-collar,secondary,1243,1341,yes
management,tertiary,0,144,no
blue-collar,secondary,0,269,no
blue-collar,secondary,-54,573,no
services,secondary,367,476,yes
services,secondary,80,240,no
entrepreneur,tertiary,958,72,no
services,secondary,3,183,no
blue-collar,secondary,0,564,no
technician,secondary,136,151,no
blue-collar,primary,44,90,no
housemaid,primary,763,180,no
blue-collar,primary,1,270,no
management,tertiary,1403,91,no
blue-collar,primary,142,924,no
housemaid,secondary,-759,191,no
blue-collar,secondary,1672,484,no
management,tertiary,161,378,no
technician,secondary,0,283,no
management,tertiary,1049,55,no
technician,secondary,447,108,no
technician,secondary,-260,183,no
management,tertiary,761,80,no
technician,secondary,-172,132,no
housemaid,primary,46,31,no
technician,secondary,1499,59,no
technician,secondary,107,52,no
services,primary,167,614,yes
admin.,tertiary,0,85,no
retired,secondary,991,593,no
management,tertiary,0,71,no
housemaid,primary,0,118,no
entrepreneur,tertiary,986,970,no
blue-collar,secondary,-195,64,no
admin.,secondary,488,178,no
admin.,secondary,1661,100,no
blue-collar,primary,410,221,no
blue-collar,primary,565,189,no
technician,secondary,0,271,no
blue-collar,secondary,178,595,no
technician,secondary,0,178,no
management,primary,2769,94,no
admin.,secondary,1074,911,yes
admin.,secondary,184,437,no
blue-collar,primary,-608,135,no
blue-collar,secondary,84,328,no
admin.,secondary,93,161,no
management,secondary,0,96,no
blue-collar,secondary,853,1187,no
technician,secondary,0,125,no
services,secondary,935,65,no
management,tertiary,1906,68,no
admin.,secondary,187,90,no
technician,secondary,-149,287,no
services,secondary,78,97,no
services,tertiary,-104,231,no
blue-collar,primary,689,367,no
blue-collar,primary,226,306,no
management,tertiary,0,289,no
blue-collar,secondary,992,297,no
self-employed,secondary,1749,767,no
blue-collar,secondary,-336,151,no
housemaid,primary,1266,84,no
technician,secondary,-559,189,no
services,secondary,6,155,no
technician,secondary,287,84,no
retired,tertiary,0,363,no
blue-collar,secondary,34,97,no
management,secondary,62,467,no
management,tertiary,8300,460,no
technician,secondary,1140,69,no
management,tertiary,308,125,no
management,tertiary,0,119,no
retired,secondary,2291,127,no
technician,tertiary,47,213,no
admin.,secondary,-169,310,no
housemaid,primary,577,76,no
blue-collar,secondary,0,305,no
services,secondary,417,201,no
management,tertiary,6739,68,no
self-employed,secondary,248,245,no
technician,,627,140,no
management,tertiary,3016,80,no
technician,secondary,144,154,no
management,tertiary,0,85,no
blue-collar,secondary,-102,334,no
management,tertiary,0,118,no
technician,primary,1276,103,no
technician,tertiary,118,431,no
management,tertiary,0,109,no
management,tertiary,-2282,301,no
admin.,secondary,0,194,no
technician,secondary,-287,244,no
management,tertiary,305,111,no
retired,primary,1987,185,no
housemaid,primary,4324,565,no
blue-collar,secondary,211,36,no
technician,tertiary,0,894,yes
services,secondary,0,78,no
entrepreneur,secondary,638,358,no
management,primary,530,457,no
technician,tertiary,1537,400,no
management,tertiary,25,170,no
technician,secondary,0,101,no
blue-collar,secondary,0,129,no
unemployed,primary,0,175,no
blue-collar,secondary,-145,231,no
services,secondary,1930,92,no
blue-collar,primary,0,131,no
entrepreneur,tertiary,7752,138,no
technician,secondary,223,202,no
blue-collar,,402,368,no
technician,,557,80,no
management,tertiary,24,280,no
management,tertiary,4,63,no
housemaid,primary,0,317,no
housemaid,secondary,0,368,no
blue-collar,secondary,-178,178,no
blue-collar,primary,38,321,no
technician,secondary,1838,135,no
blue-collar,secondary,1,462,no
self-employed,secondary,217,317,no
blue-collar,primary,-207,878,yes
self-employed,primary,217,193,no
management,tertiary,222,820,yes
entrepreneur,secondary,-799,1001,yes
unemployed,secondary,1020,348,no
management,tertiary,287,119,no
admin.,secondary,454,331,no
blue-collar,secondary,-231,779,no
entrepreneur,tertiary,1,61,no
unemployed,secondary,31,211,no
entrepreneur,tertiary,84,306,no
admin.,secondary,3064,159,no
retired,tertiary,4104,68,no
blue-collar,primary,664,955,yes
blue-collar,secondary,-1,194,no
blue-collar,secondary,7051,106,no
retired,primary,4459,85,no
blue-collar,secondary,345,179,no
admin.,secondary,0,127,no
services,secondary,297,157,no
admin.,secondary,219,419,no
entrepreneur,secondary,-563,769,yes
management,tertiary,285,838,yes
services,secondary,884,166,no
technician,secondary,0,624,no
management,tertiary,764,97,no
admin.,secondary,82,1142,no
services,secondary,0,276,no
admin.,secondary,345,208,no
technician,secondary,210,298,no
management,tertiary,0,767,yes
blue-collar,secondary,0,186,no
services,secondary,300,52,no
management,tertiary,2265,64,no
services,secondary,0,133,no
blue-collar,,694,1806,yes
admin.,secondary,1,92,no
management,tertiary,-273,344,no
blue-collar,primary,327,145,no
blue-collar,secondary,8,226,no
management,tertiary,38279,225,no
management,tertiary,151,496,yes
services,tertiary,130,49,no
blue-collar,primary,0,129,no
blue-collar,tertiary,597,686,yes
entrepreneur,secondary,0,528,no
services,,318,63,no
management,tertiary,0,155,no
blue-collar,primary,17,329,no
services,secondary,28,142,no
management,tertiary,319,91,no
admin.,secondary,74,419,no
management,tertiary,1,241,no
admin.,secondary,1210,350,no
management,tertiary,55,165,no
management,tertiary,574,410,no
blue-collar,secondary,25,81,no
technician,secondary,268,128,no
entrepreneur,tertiary,4,158,no
technician,secondary,217,93,no
blue-collar,secondary,381,198,no
management,tertiary,0,87,no
blue-collar,primary,1927,322,no
housemaid,primary,91,110,no
student,secondary,119,781,yes
services,secondary,123,202,no
admin.,secondary,0,1056,no
blue-collar,secondary,195,1339,no
management,tertiary,-1038,255,no
admin.,secondary,0,524,no
technician,secondary,-312,268,no
management,tertiary,16,605,no
services,primary,92,63,no
technician,secondary,522,185,no
management,primary,120,102,no
management,tertiary,78,257,no
services,secondary,43,36,no
blue-collar,secondary,808,20,no
admin.,secondary,0,69,no
blue-collar,secondary,-11,1150,yes
entrepreneur,secondary,-142,126,no
services,secondary,40,302,no
admin.,secondary,180,114,no
blue-collar,secondary,723,235,no
retired,secondary,119,521,no
blue-collar,secondary,1405,753,yes
admin.,tertiary,168,295,no
technician,,187,86,no
blue-collar,secondary,5639,430,no
management,tertiary,727,87,no
entrepreneur,tertiary,461,284,no
admin.,secondary,-191,156,no
self-employed,tertiary,82,200,no
admin.,secondary,1031,84,no
blue-collar,secondary,1,259,no
services,secondary,-189,538,yes
services,secondary,282,243,no
technician,secondary,1803,172,no
management,tertiary,25,393,no
technician,secondary,37,96,no
management,tertiary,1396,630,no
admin.,secondary,453,384,no
admin.,tertiary,1,54,no
admin.,secondary,0,1448,yes
blue-collar,primary,2456,1151,no
blue-collar,secondary,388,265,no
blue-collar,secondary,2707,120,no
management,tertiary,0,186,no
technician,secondary,-67,160,no
unemployed,primary,1699,207,no
self-employed,tertiary,355,1390,no
blue-collar,,-120,231,no
entrepreneur,secondary,2,25,no
management,tertiary,708,59,no
housemaid,primary,3798,1208,yes
management,tertiary,2,234,no
services,secondary,307,147,no
blue-collar,primary,301,1175,yes
housemaid,primary,864,46,no
self-employed,tertiary,2977,1018,no
admin.,primary,0,155,no
technician,secondary,8016,903,no
management,secondary,0,395,no
admin.,secondary,449,43,no
retired,secondary,212,27,no
admin.,secondary,92,157,no
blue-collar,secondary,709,100,no
management,,624,400,no
blue-collar,secondary,598,53,no
management,tertiary,1050,67,no
management,tertiary,1602,287,no
self-employed,secondary,69,103,no
services,secondary,-102,185,no
management,tertiary,704,116,no
blue-collar,secondary,4963,226,no
blue-collar,secondary,-384,143,no
management,secondary,3286,569,no
entrepreneur,tertiary,501,94,no
technician,tertiary,317,106,no
management,tertiary,33,337,no
services,secondary,-158,11,no
self-employed,primary,102,560,yes
services,secondary,-27,65,no
unemployed,tertiary,2133,90,no
technician,tertiary,2392,133,no
admin.,secondary,622,420,yes
admin.,secondary,10,658,yes
technician,secondary,24,112,no
services,secondary,24,111,no
technician,secondary,530,744,no
management,tertiary,161,642,no
blue-collar,primary,137,54,no
services,secondary,458,328,no
entrepreneur,secondary,104,635,yes
technician,secondary,53,352,no
management,tertiary,4824,168,no
services,secondary,-27,216,no
services,primary,0,351,no
admin.,secondary,0,788,no
management,tertiary,-50,30,no
services,secondary,24,135,no
management,tertiary,0,177,no
admin.,secondary,-193,126,no
blue-collar,secondary,584,154,no
blue-collar,secondary,137,305,no
blue-collar,secondary,-193,580,no
admin.,secondary,430,82,no
retired,secondary,2047,241,no
housemaid,secondary,1752,335,no
retired,secondary,161,272,no
technician,tertiary,0,589,no
blue-collar,,64,78,no
blue-collar,primary,0,145,no
entrepreneur,primary,592,122,no
housemaid,primary,-187,118,no
admin.,secondary,-67,84,no
admin.,secondary,2278,195,no
retired,primary,2790,236,no
management,tertiary,1482,361,no
blue-collar,secondary,895,317,no
services,,1229,89,no
admin.,secondary,503,553,no
blue-collar,secondary,324,167,no
technician,tertiary,-229,416,no
management,tertiary,5691,357,no
management,tertiary,-1884,193,no
blue-collar,secondary,230,38,no
technician,secondary,-360,169,no
entrepreneur,secondary,1034,141,no
technician,,244,54,no
admin.,secondary,181,296,no
student,secondary,-86,369,no
management,tertiary,351,356,no
admin.,secondary,64,204,no
self-employed,tertiary,503,507,no
management,tertiary,2154,87,no
admin.,secondary,3215,228,no
blue-collar,secondary,327,81,no
technician,tertiary,119,202,no
technician,secondary,1858,61,no
housemaid,secondary,34,208,no
housemaid,primary,-1006,222,no
blue-collar,secondary,-60,250,no
retired,primary,685,89,no
management,secondary,966,50,no
services,secondary,-453,213,no
entrepreneur,secondary,475,936,no
management,tertiary,3,690,no
housemaid,primary,1037,319,no
services,secondary,6567,522,no
blue-collar,tertiary,0,262,no
technician,secondary,223,1002,yes
blue-collar,secondary,1484,274,no
retired,primary,6570,106,no
blue-collar,secondary,358,88,no
management,tertiary,54,34,no
management,tertiary,1,551,no
services,secondary,79,24,no
technician,tertiary,378,184,no
blue-collar,primary,236,166,no
services,secondary,0,44,no
technician,primary,284,70,no
blue-collar,primary,1,80,no
technician,tertiary,45,125,no
management,tertiary,4315,181,no
admin.,secondary,874,93,no
services,secondary,145,152,no
admin.,secondary,-17,76,no
retired,secondary,-330,69,no
admin.,secondary,32,163,no
admin.,secondary,1715,211,no
management,tertiary,553,72,no
services,secondary,44,90,no
entrepreneur,tertiary,121,80,no
admin.,secondary,241,490,no
blue-collar,primary,-235,189,no
admin.,secondary,194,71,no
self-employed,secondary,192,423,no
student,tertiary,652,285,no
admin.,secondary,121,22,no
unemployed,secondary,136,246,no
admin.,secondary,0,136,no
admin.,tertiary,89,120,no
blue-collar,secondary,0,127,no
management,tertiary,77,267,no
management,tertiary,-199,261,no
management,tertiary,0,99,no
entrepreneur,tertiary,676,214,no
technician,secondary,1842,611,no
blue-collar,secondary,5275,1029,no
technician,secondary,83,135,no
management,tertiary,149,153,no
technician,primary,2309,578,no
management,tertiary,2183,209,no
management,,465,1508,yes
admin.,secondary,57,50,no
blue-collar,secondary,-247,264,no
management,tertiary,3092,165,no
student,secondary,141,128,no
management,tertiary,0,176,no
services,secondary,957,145,no
blue-collar,primary,197,181,no
retired,primary,3126,237,no
blue-collar,primary,318,287,no
unemployed,tertiary,1634,168,no
management,secondary,143,44,no
management,secondary,2,493,no
admin.,secondary,635,400,no
blue-collar,primary,0,149,no
entrepreneur,tertiary,693,89,no
blue-collar,primary,189,97,no
blue-collar,primary,300,209,no
services,secondary,-119,151,no
blue-collar,primary,-119,167,no
technician,tertiary,48,164,no
blue-collar,secondary,0,122,no
admin.,tertiary,982,105,no
management,tertiary,539,161,no
management,tertiary,3,106,no
retired,tertiary,2370,376,no
admin.,primary,50,379,no
management,secondary,283,761,yes
admin.,tertiary,1773,275,no
blue-collar,secondary,1508,281,no
blue-collar,secondary,1027,59,no
technician,tertiary,148,421,no
housemaid,primary,26,952,no
retired,primary,566,423,no
blue-collar,secondary,197,222,no
management,tertiary,0,122,no
management,tertiary,14930,190,no
services,secondary,30,74,no
technician,tertiary,0,155,no
services,secondary,525,81,no
blue-collar,primary,308,191,no
retired,primary,61,197,no
management,tertiary,323,98,no
technician,tertiary,209,36,no
admin.,secondary,2405,216,no
unemployed,tertiary,73,172,no
retired,primary,65,588,no
blue-collar,,163,586,no
blue-collar,primary,1532,98,no
blue-collar,secondary,0,271,no
self-employed,tertiary,76,100,no
admin.,secondary,315,129,no
blue-collar,secondary,291,448,no
entrepreneur,tertiary,-168,1327,yes
housemaid,secondary,4848,82,no
self-employed,tertiary,0,339,no
admin.,secondary,0,400,no
admin.,secondary,-429,229,no
management,tertiary,94,530,no
blue-collar,secondary,61,68,no
entrepreneur,,1958,609,no
self-employed,secondary,95,1309,yes
blue-collar,secondary,13,135,no
blue-collar,secondary,3677,276,no
services,tertiary,395,1359,yes
services,secondary,204,286,no
blue-collar,primary,0,97,no
blue-collar,,30,498,no
management,tertiary,36,111,no
technician,tertiary,-3,57,no
technician,secondary,93,537,no
management,tertiary,3282,143,no
technician,secondary,0,262,no
entrepreneur,,29,162,no
technician,secondary,0,101,no
technician,secondary,582,114,no
management,tertiary,1102,78,no
unemployed,tertiary,-164,117,no
entrepreneur,primary,-204,467,no
admin.,secondary,2661,258,no
housemaid,secondary,204,38,no
management,tertiary,0,60,no
technician,secondary,346,379,no
blue-collar,secondary,720,651,yes
admin.,secondary,26,179,no
services,secondary,86,92,no
technician,secondary,1241,343,no
services,secondary,-68,78,no
technician,secondary,981,225,no
blue-collar,secondary,271,23,no
blue-collar,,0,90,no
management,tertiary,889,539,no
management,tertiary,597,869,no
management,tertiary,2729,218,no
technician,secondary,3717,91,no
admin.,secondary,2702,129,no
technician,secondary,69,915,no
management,tertiary,14,90,no
services,secondary,5567,1869,no
technician,tertiary,162,141,no
housemaid,primary,2253,135,no
housemaid,primary,669,367,no
technician,secondary,791,268,no
blue-collar,secondary,1103,828,no
self-employed,tertiary,191,806,no
management,tertiary,2555,263,no
management,secondary,1272,342,no
blue-collar,secondary,276,441,no
management,tertiary,64,263,no
management,tertiary,19,186,no
entrepreneur,primary,21,65,no
services,secondary,310,43,no
management,tertiary,-15,212,no
technician,tertiary,179,111,no
blue-collar,primary,343,616,yes
services,tertiary,-62,126,no
technician,secondary,2471,136,no
blue-collar,primary,1080,110,no
blue-collar,secondary,1759,695,yes
admin.,secondary,2,137,no
self-employed,secondary,254,335,no
blue-collar,secondary,3,51,no
admin.,secondary,82,735,yes
housemaid,primary,0,267,no
blue-collar,secondary,-723,112,no
management,tertiary,-488,65,no
admin.,secondary,-635,250,no
management,tertiary,5261,1209,no
admin.,tertiary,176,50,no
technician,tertiary,233,175,no
blue-collar,secondary,59,246,no
blue-collar,secondary,57,188,no
services,secondary,395,174,no
admin.,secondary,191,18,no
blue-collar,primary,380,48,no
retired,primary,-182,153,no
blue-collar,primary,410,297,no
housemaid,tertiary,147,1269,no
management,tertiary,612,153,no
management,secondary,1424,39,no
services,primary,860,80,no
blue-collar,secondary,191,66,no
admin.,secondary,-300,184,no
entrepreneur,secondary,158,241,no
management,tertiary,1988,102,no
retired,primary,759,702,no
self-employed,secondary,2387,155,no
technician,secondary,1626,566,no
management,tertiary,656,268,no
technician,tertiary,3432,72,no
technician,secondary,1301,124,no
services,secondary,441,135,no
blue-collar,primary,-160,93,no
blue-collar,primary,92,99,no
housemaid,primary,312,137,no
entrepreneur,secondary,-200,248,no
entrepreneur,tertiary,1767,395,no
management,tertiary,9630,190,no
entrepreneur,tertiary,5156,147,no
technician,tertiary,190,33,no
blue-collar,primary,7041,386,no
services,secondary,215,56,no
entrepreneur,secondary,814,69,no
management,tertiary,0,664,yes
student,tertiary,-380,108,no
management,tertiary,0,117,no
management,tertiary,331,82,no
self-employed,secondary,-206,51,no
management,tertiary,0,54,no
services,secondary,-236,745,yes
services,secondary,0,174,no
services,secondary,166,108,no
services,secondary,293,148,no
housemaid,secondary,0,330,no
housemaid,primary,0,40,no
self-employed,tertiary,147,295,no
admin.,secondary,157,164,no
management,secondary,516,292,no
entrepreneur,tertiary,1129,241,no
retired,secondary,3570,112,no
technician,secondary,3899,596,yes
blue-collar,tertiary,902,296,no
blue-collar,secondary,215,180,no
technician,secondary,0,359,no
technician,secondary,17,266,no
self-employed,tertiary,0,133,no
housemaid,primary,20,564,no
services,,482,83,no
technician,tertiary,849,289,no
entrepreneur,tertiary,407,189,no
technician,tertiary,-528,246,no
technician,secondary,0,1025,no
technician,tertiary,676,470,no
blue-collar,primary,73,106,no
blue-collar,secondary,2267,57,no
self-employed,tertiary,1616,1009,yes
blue-collar,secondary,1817,1096,yes
technician,secondary,3305,78,no
entrepreneur,secondary,229,258,no
management,tertiary,552,761,no
management,tertiary,141,154,no
technician,secondary,2125,433,no
blue-collar,secondary,1397,114,no
technician,tertiary,4321,257,no
blue-collar,secondary,-685,314,no
entrepreneur,tertiary,59,306,no
management,tertiary,128,320,no
admin.,tertiary,0,151,no
entrepreneur,secondary,65,19,no
management,tertiary,13315,43,no
management,tertiary,655,167,no
technician,secondary,218,110,no
services,secondary,0,243,no
blue-collar,primary,1,120,no
admin.,secondary,-42,181,no
technician,secondary,349,27,no
blue-collar,secondary,337,257,no
technician,tertiary,54,99,no
blue-collar,secondary,129,119,no
technician,tertiary,354,95,no
services,primary,812,117,no
unemployed,primary,845,123,no
services,,9,186,no
technician,tertiary,1103,148,no
services,secondary,408,314,no
management,,1525,36,no
entrepreneur,secondary,1085,101,no
management,tertiary,62,90,no
technician,,5176,162,no
blue-collar,secondary,892,25,no
technician,secondary,2575,129,no
management,tertiary,442,102,no
management,tertiary,3390,43,no
technician,secondary,1199,336,no
entrepreneur,tertiary,209,112,no
technician,secondary,84,70,no
admin.,secondary,150,135,no
management,tertiary,797,24,no
admin.,secondary,-338,97,no
management,secondary,1018,305,no
management,tertiary,4,261,no
management,tertiary,6200,103,no
technician,secondary,342,146,no
blue-collar,secondary,659,64,no
services,secondary,529,137,no
technician,tertiary,529,208,no
technician,secondary,1226,51,no
admin.,secondary,-112,394,no
admin.,secondary,261,797,no
technician,secondary,736,212,no
blue-collar,primary,620,88,no
services,secondary,513,331,no
admin.,secondary,1283,60,no
admin.,secondary,147,57,no
housemaid,secondary,0,218,no
self-employed,tertiary,7254,132,no
admin.,secondary,-242,20,no
admin.,secondary,1815,86,no
retired,secondary,1467,277,no
management,tertiary,4381,126,no
admin.,secondary,1305,172,no
unemployed,secondary,312,884,yes
technician,primary,4389,33,no
services,primary,197,313,no
management,tertiary,390,80,no
self-employed,primary,362,816,yes
housemaid,primary,0,120,no
admin.,secondary,2,246,no
retired,primary,-464,820,no
housemaid,secondary,559,69,no
management,tertiary,826,316,no
self-employed,secondary,215,543,no
technician,tertiary,-252,52,no
admin.,tertiary,235,185,no
management,tertiary,8106,340,no
technician,secondary,840,281,no
retired,secondary,-82,234,no
admin.,tertiary,9143,851,no
blue-collar,secondary,2044,234,no
entrepreneur,tertiary,566,333,no
retired,tertiary,1321,157,no
,,1032,225,no
services,secondary,5,84,no
services,secondary,-333,329,no
management,tertiary,5073,68,no
